https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume IOTA,Volume USDT,tradecount
1690934400000,2023-08-02,IOTAUSDT,0.1767,0.1799,0.1701,0.1738,4403418.0,768554.9756,5074
1690848000000,2023-08-01,IOTAUSDT,0.1741,0.1779,0.1687,0.1767,5214771.0,896865.3402,4798
1690761600000,2023-07-31,IOTAUSDT,0.1742,0.1763,0.1714,0.1739,1933473.0,336040.5545,2692
1690675200000,2023-07-30,IOTAUSDT,0.1794,0.1807,0.1708,0.1744,3564217.0,630090.7815,3633
1690588800000,2023-07-29,IOTAUSDT,0.1756,0.1813,0.1747,0.1795,2930177.0,519003.4665,3328
1690502400000,2023-07-28,IOTAUSDT,0.1741,0.1758,0.172,0.1756,2962833.0,515212.4605,3217
1690416000000,2023-07-27,IOTAUSDT,0.1743,0.1758,0.1719,0.174,3168042.0,550375.1774,3803
1690329600000,2023-07-26,IOTAUSDT,0.1743,0.1761,0.1698,0.1741,5838601.0,1006364.3535,7776
1690243200000,2023-07-25,IOTAUSDT,0.1779,0.1783,0.1724,0.1744,5730949.0,1000639.2735,6477
1690156800000,2023-07-24,IOTAUSDT,0.1872,0.1875,0.1766,0.1779,7808582.0,1407504.4851,8198
1690070400000,2023-07-23,IOTAUSDT,0.1847,0.1883,0.1836,0.1868,3740555.0,696155.058,5551
1689984000000,2023-07-22,IOTAUSDT,0.1845,0.1867,0.1828,0.1848,2988524.0,553302.3115,3881
1689897600000,2023-07-21,IOTAUSDT,0.1837,0.1857,0.1815,0.1844,3158747.0,579230.588,4924
1689811200000,2023-07-20,IOTAUSDT,0.184,0.1889,0.1804,0.1837,6336647.0,1170398.5076,9223
1689724800000,2023-07-19,IOTAUSDT,0.1847,0.1871,0.1808,0.1841,6492299.0,1192629.0563,7383
1689638400000,2023-07-18,IOTAUSDT,0.1935,0.1941,0.1822,0.1846,7289101.0,1366223.6112,6430
1689552000000,2023-07-17,IOTAUSDT,0.1899,0.197,0.1848,0.1933,9142000.0,1752125.8436,9043
1689465600000,2023-07-16,IOTAUSDT,0.1924,0.1968,0.1882,0.1898,8654323.0,1667786.8613,8615
1689379200000,2023-07-15,IOTAUSDT,0.1886,0.1958,0.1871,0.1922,6608580.0,1267290.0374,6393
1689292800000,2023-07-14,IOTAUSDT,0.1945,0.1962,0.1798,0.1886,13337185.0,2532628.5693,13738
1689206400000,2023-07-13,IOTAUSDT,0.1805,0.195,0.1793,0.1945,10879830.0,2031071.4232,12575
1689120000000,2023-07-12,IOTAUSDT,0.1808,0.1849,0.1779,0.1805,7056814.0,1282211.9986,6811
1689033600000,2023-07-11,IOTAUSDT,0.1786,0.181,0.1766,0.1809,3217164.0,574987.6526,5249
1688947200000,2023-07-10,IOTAUSDT,0.1814,0.1832,0.1756,0.1784,4819563.0,861951.6929,6214
1688860800000,2023-07-09,IOTAUSDT,0.1816,0.1829,0.1797,0.1814,3019536.0,548382.2177,3366
1688774400000,2023-07-08,IOTAUSDT,0.1824,0.1838,0.1785,0.1816,3360487.0,610941.3046,4029
1688688000000,2023-07-07,IOTAUSDT,0.1786,0.1838,0.1763,0.1823,4762086.0,864944.4011,5858
1688601600000,2023-07-06,IOTAUSDT,0.1834,0.1902,0.1766,0.1787,7265393.0,1329534.229,9827
1688515200000,2023-07-05,IOTAUSDT,0.186,0.1911,0.1803,0.1836,7589754.0,1413045.6644,10069
1688428800000,2023-07-04,IOTAUSDT,0.1863,0.1916,0.1838,0.1857,5919888.0,1107171.0165,8435
1688342400000,2023-07-03,IOTAUSDT,0.184,0.1874,0.1826,0.186,6838275.0,1267127.2315,9448
1688256000000,2023-07-02,IOTAUSDT,0.1865,0.1868,0.1789,0.1841,3852741.0,704752.497,5877
1688169600000,2023-07-01,IOTAUSDT,0.1825,0.1864,0.1809,0.1864,5572872.0,1025161.5227,6899
1688083200000,2023-06-30,IOTAUSDT,0.1779,0.1851,0.1686,0.1824,13958902.0,2504970.3564,15696
1687996800000,2023-06-29,IOTAUSDT,0.1743,0.1786,0.174,0.1777,4737451.0,836492.0565,6532
1687910400000,2023-06-28,IOTAUSDT,0.1838,0.184,0.1681,0.1742,10573080.0,1873604.8161,12695
1687824000000,2023-06-27,IOTAUSDT,0.1802,0.2062,0.1794,0.1838,25224524.0,4771088.1504,29459
1687737600000,2023-06-26,IOTAUSDT,0.1823,0.1866,0.1763,0.18,10681430.0,1933705.8962,12193
1687651200000,2023-06-25,IOTAUSDT,0.1808,0.1871,0.1788,0.1821,7074560.0,1295609.6173,9129
1687564800000,2023-06-24,IOTAUSDT,0.1795,0.1835,0.1759,0.1808,6366509.0,1147309.0193,8520
1687478400000,2023-06-23,IOTAUSDT,0.1696,0.1803,0.1696,0.1795,7985146.0,1405527.5952,10866
