https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FXS,Volume BTC,tradecount
1707868800000,2024-02-14,FXSBTC,0.00017902,0.00018058,0.00016902,0.00017052,20593.3,3.57826899,1056
1707782400000,2024-02-13,FXSBTC,0.00018243,0.00018426,0.00017851,0.00017851,10011.0,1.81866488,628
1707696000000,2024-02-12,FXSBTC,0.00018646,0.00018658,0.00017951,0.0001822,10378.1,1.88701347,797
1707609600000,2024-02-11,FXSBTC,0.0001886,0.00019055,0.00018543,0.00018642,4311.5,0.80729178,456
1707523200000,2024-02-10,FXSBTC,0.00019093,0.00019473,0.00018813,0.0001886,25225.7,4.83020702,1344
1707436800000,2024-02-09,FXSBTC,0.00020034,0.00020246,0.00018934,0.00019116,25989.1,5.06260974,2111
1707350400000,2024-02-08,FXSBTC,0.0002136,0.00022149,0.0001991,0.0002009,45210.2,9.53418973,2931
1707264000000,2024-02-07,FXSBTC,0.00021096,0.00021905,0.00020941,0.0002132,24305.9,5.21867089,2255
1707177600000,2024-02-06,FXSBTC,0.00024172,0.00024539,0.00021074,0.00021252,31050.5,6.88752858,3486
1707091200000,2024-02-05,FXSBTC,0.00023371,0.00025043,0.00023291,0.00024039,23145.8,5.6541321,2190
1707004800000,2024-02-04,FXSBTC,0.00023706,0.00023894,0.00023243,0.00023371,3223.2,0.76255299,520
1706918400000,2024-02-03,FXSBTC,0.00023728,0.00024237,0.00023288,0.00023707,2819.0,0.67043789,616
1706832000000,2024-02-02,FXSBTC,0.00022777,0.00024181,0.0002273,0.00023777,4239.2,1.00148461,843
1706745600000,2024-02-01,FXSBTC,0.00022717,0.00023241,0.00022421,0.00022858,5614.5,1.27995241,647
1706659200000,2024-01-31,FXSBTC,0.00024497,0.00024515,0.00022607,0.0002274,11685.4,2.72498517,2184
1706572800000,2024-01-30,FXSBTC,0.00022694,0.00024598,0.00022533,0.00024528,8526.7,2.03510304,1571
1706486400000,2024-01-29,FXSBTC,0.00023595,0.00023824,0.00022565,0.00022686,6056.2,1.40847411,933
1706400000000,2024-01-28,FXSBTC,0.00024178,0.00024577,0.000234,0.00023546,3672.0,0.87515598,643
1706313600000,2024-01-27,FXSBTC,0.0002426,0.00025183,0.00024142,0.00024182,16981.4,4.20976459,2357
1706227200000,2024-01-26,FXSBTC,0.00024486,0.0002558,0.00023775,0.0002426,13105.3,3.25051973,2424
1706140800000,2024-01-25,FXSBTC,0.00025328,0.000257,0.00023955,0.00024481,12319.4,3.04080948,2469
1706054400000,2024-01-24,FXSBTC,0.00022952,0.00025479,0.00022905,0.00025328,17679.1,4.333844,4094
1705968000000,2024-01-23,FXSBTC,0.000235,0.00023888,0.000224,0.0002298,7854.9,1.81344012,3699
1705881600000,2024-01-22,FXSBTC,0.00022793,0.00024179,0.00022621,0.000235,11123.9,2.5764111,4067
1705795200000,2024-01-21,FXSBTC,0.00021843,0.00023061,0.00021822,0.00022777,5031.5,1.14009368,959
1705708800000,2024-01-20,FXSBTC,0.0002141,0.00022078,0.0002136,0.00021843,6393.0,1.39591984,1079
1705622400000,2024-01-19,FXSBTC,0.00021089,0.00021491,0.00020533,0.00021405,17850.0,3.75859862,2193
1705536000000,2024-01-18,FXSBTC,0.00020835,0.00022222,0.00020535,0.00021098,15734.4,3.34486003,4253
1705449600000,2024-01-17,FXSBTC,0.00020876,0.00021323,0.00020621,0.00020833,3536.6,0.74092809,987
1705363200000,2024-01-16,FXSBTC,0.0002087,0.00021632,0.00020505,0.00020877,4584.2,0.9666552,817
1705276800000,2024-01-15,FXSBTC,0.00021199,0.00021452,0.00020417,0.0002087,10970.9,2.28410809,909
1705190400000,2024-01-14,FXSBTC,0.00021637,0.0002185,0.00020564,0.00021097,6656.4,1.40406729,1150
1705104000000,2024-01-13,FXSBTC,0.00020795,0.00021754,0.0002009,0.00021492,7971.4,1.66473532,1586
1705017600000,2024-01-12,FXSBTC,0.00020436,0.00021271,0.00019768,0.00020742,23081.9,4.7909871,2570
1704931200000,2024-01-11,FXSBTC,0.00018907,0.00022807,0.00018878,0.00020439,34026.2,7.0296903,3688
1704844800000,2024-01-10,FXSBTC,0.00017506,0.00019654,0.00017506,0.00018854,27192.5,5.078911,2638
1704758400000,2024-01-09,FXSBTC,0.00017112,0.00018266,0.00016368,0.00017465,21181.8,3.61952103,1804
1704672000000,2024-01-08,FXSBTC,0.00017388,0.00017824,0.00016704,0.00017126,8201.2,1.41939079,1437
1704585600000,2024-01-07,FXSBTC,0.00018341,0.00018728,0.00017225,0.00017504,20970.1,3.76022854,1258
1704499200000,2024-01-06,FXSBTC,0.00018883,0.00018976,0.00018073,0.00018435,18662.6,3.47873004,1396
